'tweet_id';'source_user_id';'target_user_id'
561936821777870848;550427528;374965444
561936825317855232;2521054485;159119360
561936825317855232;2521054485;2288138575
561936825317855232;2521054485;3005765446
561936827385667585;700000991;266641960
561936829004668928;2849004899;590329050
561936831458320384;2724697598;63544364
561936831382847488;1253934876;520754875
561936831097610240;1202289132;522561972
561936832103870464;141361016;465060756
561936833177612288;43310617;563012285
561936834067189761;407108151;17484709
561936837867212801;2411302472;2502008372
561936840832598017;18239642;93797343
561936843714080768;361164254;19028805
561936843714080768;361164254;2854941034
561936847761575936;2816840893;159119360
561936847761575936;2816840893;2288138575
561936847761575936;2816840893;3005765446
561936850278182913;2419004815;124172948
561936851498729472;1444272716;2247066674
561936854946447360;19708112;243380988
561936858423521283;2356289815;270934797
561936861225304064;2842778901;160486637
561936863234359297;900028548;282339186
561936867562893314;282986580;282339186
561936869693612032;2879308287;2743397519
561936869693612032;2879308287;419008875
561936869693612032;2879308287;158313996
561936872977760256;1302010249;130613344
561936873514610688;2305158924;51933295
561936873514610688;2305158924;2689827228
561936873514610688;2305158924;803291118
561936873514610688;2305158924;307896708
561936875074879489;430107760;130613344
561936877612462080;158769409;88954535
561936878010892288;1355921700;124172948
561936880892403713;290555850;550660399
561936888211456000;144581063;81020157
561936888211456000;144581063;49482270
561936890577035264;326695275;227344272
561936890577035264;326695275;1372944158
561936892028280832;138018060;110832518
561936892028280832;138018060;108505438
561936892028280832;138018060;128262354
561936891906637824;960194726;1011334784
561936894142201856;141161923;273930234
561936904023998466;440336544;2256931663
561936906762870784;235733742;254567407
561936910441271297;224347767;282339186
561936912060256256;1015347451;75883996
561936912848809984;1596994778;2932299777
561936914442645504;2861185895;16579721
561936914451005441;2862892040;2932299777
561936914782388224;2779729799;32342975
561936914836914176;449565560;2404897956
561936915839328256;1325469828;2932299777
561936916959199232;2874462148;182424625
561936917240217600;1742547186;2990889983
561936917198295041;2908746101;2932299777
561936918523703297;1406781576;2932299777
561936919748415488;295991844;2932299777
561936922105630720;2303994917;366035487
561936922105630720;2303994917;2868094280
561936925050023938;489120799;2932299777
561936926165696512;1309382743;2932299777
561936932247453696;189571978;2932299777
561936933430239233;887448446;2932299777
561936933719642112;879916578;2890845057
561936934801801218;2564959137;582776738
561936934801801218;2564959137;2395902620
561936940161716225;267983548;243380988
561936941382631425;1530480258;96858851
561936943039393793;2906614359;2932299777
561936944293507072;1159160990;2932299777
561936945442729985;2899613012;2932299777
561936946847809536;2228588031;2932299777
561936947493748737;223644496;409626334
561936948118683648;2347514130;2932299777
561936949133737985;1413671461;158342368
561936949133737985;1413671461;115611795
561936949314080771;2500397701;2932299777
561936950782078978;2348765192;2932299777
561936952241709056;2834498188;2932299777
561936953462259715;2278551109;2932299777
561936954573733890;265818552;2932299777
561936955815251968;2746847064;2932299777
561936956868001794;739002444;2932299777
561936957304225792;2858163287;509686977
561936957866270720;557170766;2932299777
561936958315061248;830858390;138018060
561936958315061248;830858390;282339186
561936958755446785;343839423;2838770261
561936958948409344;2588573352;2932299777
561936960047292416;2468162718;2932299777
561936960223461376;994927369;2860250000
561936961217495041;2919053863;2932299777
561936962710679552;1544627568;2285292348
